subject,total_trial,trial_duration,engaged,is_day_session
ACV001,35851.0,101.30189990997314,False,False
ACV001,35852.0,5.638700008392334,True,False
ACV001,35853.0,7.541599988937378,True,False
ACV001,35854.0,9.650399923324585,True,False
ACV001,35855.0,3.196000099182129,True,False
ACV001,35856.0,3.242000102996826,True,False
ACV001,35857.0,6.456500053405762,True,False
ACV001,35858.0,7.3531999588012695,True,False
ACV001,35859.0,8.250499963760376,True,False
ACV001,35860.0,14.792399883270264,True,False
ACV001,35861.0,4.55049991607666,True,False
ACV001,35862.0,4.7697999477386475,True,False
ACV001,35863.0,6.655400037765503,True,False
ACV001,35864.0,2.954900026321411,True,False
ACV001,35865.0,2.894700050354004,True,False
ACV001,35866.0,4.380200147628784,True,False
ACV001,35867.0,5.213299989700317,True,False
ACV001,35868.0,4.571000099182129,True,False
ACV001,35869.0,4.843600034713745,True,False
ACV001,35870.0,4.0355000495910645,True,False
ACV001,35871.0,4.094699859619141,True,False
ACV001,35872.0,6.519399881362915,True,False
ACV001,35873.0,6.915600061416626,True,False
ACV001,35874.0,5.198999881744385,True,False
ACV001,35875.0,2.8159000873565674,True,False
ACV001,35876.0,5.299599885940552,True,False
ACV001,35877.0,3.3671000003814697,True,False
ACV001,35878.0,6.290800094604492,True,False
ACV001,35879.0,3.637700080871582,True,False
ACV001,35880.0,5.653599977493286,True,False
ACV001,35881.0,7.941699981689453,True,False
ACV001,35882.0,3.5569000244140625,True,False
ACV001,35883.0,7.127300024032593,True,False
ACV001,35884.0,4.384299993515015,True,False
ACV001,35885.0,3.939199924468994,True,False
ACV001,35886.0,4.319700002670288,True,False
ACV001,35887.0,3.1082000732421875,True,False
ACV001,35888.0,4.273000001907349,True,False
ACV001,35889.0,2.4932000637054443,True,False
ACV001,35890.0,4.625,True,False
ACV001,35891.0,9.864000082015991,True,False
ACV001,35892.0,3.3798999786376953,True,False
ACV001,35893.0,3.7904000282287598,True,False
ACV001,35894.0,3.1173999309539795,True,False
ACV001,35895.0,2.51039981842041,True,False
ACV001,35896.0,4.492500066757202,True,False
ACV001,35897.0,4.565699815750122,True,False
ACV001,35898.0,3.5524001121520996,True,False
ACV001,35899.0,2.3251001834869385,True,False
ACV001,35900.0,4.241100072860718,True,False
ACV001,35901.0,4.507499933242798,True,False
ACV001,35902.0,9.141200065612793,True,False
